name_am,name_en,coordinates
Դավթաշենի 1-ին թաղամաս,Davtasheni 1-in taghamas,"(40.22181765, 44.48413805)"
Դավթաշենի 1-ին թաղամաս,Davtasheni 1-in taghamas,"(40.223138986637, 44.49227826814329)"
Աղաբաբյան փողոց,Aghababyan poghots,"(40.221646126385494, 44.478789117204585)"
Աղաբաբյան փողոց,Aghababyan poghots,"(40.2224445678798, 44.48707587845113)"
Պարիս Հերունու փողոց,Paris Herownow poghots,"(40.22055125, 44.4847364)"
Դավթաշենի 1-ին թաղամաս,Davtasheni 1-in taghamas,"(40.22055125, 44.4847364)"
Պարիս Հերունու փողոց,Paris Herownow poghots,"(40.220870950000005, 44.4846041)"
Դավթաշենի 1-ին թաղամաս,Davtasheni 1-in taghamas,"(40.220870950000005, 44.4846041)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.1436466, 44.52651305)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.143713399999996, 44.52534635)"
Սոֆիայի փողոց,Sofiayi poghots,"(40.1442538, 44.526073749999995)"
Սոֆիայի փողոց,Sofiayi poghots,"(40.14274225537741, 44.52592718622461)"
Նոր Արեշի 22-րդ փողոց,Nor Areshi 22-rd poghots,"(40.142901785536345, 44.52330701296854)"
Էրեբունու փողոց,Erebownow poghots,"(40.141975096494406, 44.52259072468877)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.143782099999996, 44.5240766)"
Նոր Արեշի 22-րդ փողոց,Nor Areshi 22-rd poghots,"(40.14463385, 44.5234851)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.143851301067485, 44.52279685005768)"
Նոր Արեշի 22-րդ փողոց,Nor Areshi 22-rd poghots,"(40.142901785536345, 44.52330701296854)"
Ազատամարտիկների պողոտա,Azatamartikneri poghota,"(40.14470447012925, 44.52220384711148)"
Ազատամարտիկների պողոտա,Azatamartikneri poghota,"(40.14294905344573, 44.522038261036805)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.143851301067485, 44.52279685005768)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.143713399999996, 44.52534635)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.143782099999996, 44.5240766)"
Նոր Արեշի 24-րդ փողոց,Nor Areshi 24-rd poghots,"(40.144401995720855, 44.524729662180654)"
Նոր Արեշի 24-րդ փողոց,Nor Areshi 24-rd poghots,"(40.14281325615153, 44.524598302408286)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.143527500000005, 44.52870985)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.1435885, 44.52751405)"
Նոր Արեշի 30-րդ փողոց,Nor Areshi 30-rd poghots,"(40.14286975, 44.527978950000005)"
Նոր Արեշի 30-րդ փողոց,Nor Areshi 30-rd poghots,"(40.1441219, 44.52805105)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.1434662, 44.5299223)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.143527500000005, 44.52870985)"
Նոր Արեշի 34-րդ փողոց,Nor Areshi 34-rd poghots,"(40.1440489, 44.5294558)"
Նոր Արեշի 34-րդ փողոց,Nor Areshi 34-rd poghots,"(40.14271784807275, 44.52934592343488)"
Նոր Արեշի 50-րդ փողոց,Nor Areshi 50-rd poghots,"(40.14370235, 44.5335102)"
Նոր Արեշի 11-րդ փողոց,Nor Areshi 11-rd poghots,"(40.14329218757708, 44.5331344670014)"
Նոր Արեշի 50-րդ փողոց,Nor Areshi 50-rd poghots,"(40.14294714658411, 44.533254251463184)"
Նոր Արեշի 9-րդ փողոց,Nor Areshi 9-rd poghots,"(40.14477385, 44.5268546)"
Նոր Արեշի 20-րդ փողոց,Nor Areshi 20-rd poghots,"(40.1451315, 44.52579835)"
Սոֆիայի փողոց,Sofiayi poghots,"(40.1442538, 44.526073749999995)"
Նոր Արեշի 20-րդ փողոց,Nor Areshi 20-rd poghots,"(40.14529977562437, 44.52509671826333)"
Նոր Արեշի 20-րդ փողոց նրբանցք,Nor Areshi 20-rd poghots nrbantsk,"(40.14542675, 44.523961549999996)"
Նոր Արեշի 22-րդ փողոց,Nor Areshi 22-rd poghots,"(40.14463385, 44.5234851)"
Նոր Արեշի 20-րդ փողոց նրբանցք,Nor Areshi 20-rd poghots nrbantsk,"(40.14548732513756, 44.52288910141239)"
Նոր Արեշի 20-րդ փողոց նրբանցք,Nor Areshi 20-rd poghots nrbantsk,"(40.14542675, 44.523961549999996)"
Նոր Արեշի 20-րդ փողոց նրբանցք,Nor Areshi 20-rd poghots nrbantsk,"(40.14536945, 44.524494700000005)"
Գյուլբենկյան փողոց,Gyowlbenkyan poghots,"(40.19927665, 44.4966322)"
Հրաչյա Քոչար փողոց,Hrachya Kochar poghots,"(40.19994302020931, 44.49844424700246)"
Գյուլբենկյան փողոց,Gyowlbenkyan poghots,"(40.198736980799495, 44.496999586850464)"
Հին Երևանցու փողոց,Hin Erewantsow poghots,"(40.182748788194395, 44.516127104212195)"
Հին Երևանցու փողոց,Hin Erewantsow poghots,"(40.18204175522072, 44.51577019176473)"
Հին Երևանցու փողոց,Hin Erewantsow poghots,"(40.18268392884589, 44.51516179271448)"
Եզնիկ Կողբացու փողոց,Eznik Koghbatsow poghots,"(40.1837682, 44.51350585)"
Հին Երևանցու փողոց,Hin Erewantsow poghots,"(40.18344040045626, 44.514070863629165)"
Հյուսիսային պողոտա,Hyowsisayin poghota,"(40.18220208362412, 44.51467793334746)"
Հյուսիսային պողոտա,Hyowsisayin poghota,"(40.183634447186094, 44.51483755779436)"
Տերյան փողոց,Teryan poghots,"(40.18312322183217, 44.514907731905204)"
Նոր Արեշի 8-րդ փողոց,Nor Areshi 8-rd poghots,"(40.134606149999996, 44.51589665)"
Այվազովսկու փողոց,Ayvazovskow poghots,"(40.1342503, 44.51647)"
Այվազովսկու փողոց,Ayvazovskow poghots,"(40.13478792340686, 44.513126801147926)"
Այվազովսկու փողոց,Ayvazovskow poghots,"(40.1340228, 44.5179524)"
Այվազովսկու փողոց,Ayvazovskow poghots,"(40.1342503, 44.51647)"
Աթոյան փողոց,Atoyan poghots,"(40.13448750266095, 44.51708506876514)"
Նոր Արեշի 9-րդ փողոց,Nor Areshi 9-rd poghots,"(40.14470005, 44.5278309)"
Նոր Արեշի 30-րդ փողոց,Nor Areshi 30-rd poghots,"(40.1441219, 44.52805105)"
Նոր Արեշի 9-րդ փողոց,Nor Areshi 9-rd poghots,"(40.14484605, 44.52835635)"
Հայրիկ Մուրադյան փողոց,Hayrik Mowradyan poghots,"(40.20372533736102, 44.512784597739525)"
Գրիբոյեդով փողոց,Griboyedov poghots,"(40.20554524910339, 44.51371475973473)"
Նաիրի Զարյան փողոց,Nairi Zaryan poghots,"(40.2042767903672, 44.51550946099265)"
Նաիրի Զարյան փողոց,Nairi Zaryan poghots,"(40.20446405717035, 44.512186706305854)"
Հայրիկ Մուրադյան փողոց,Hayrik Mowradyan poghots,"(40.20372533736102, 44.512784597739525)"
Նաիրի Զարյան փողոց,Nairi Zaryan poghots,"(40.204520631965615, 44.51055798646161)"
Բուդաղյան փողոց,Bowdaghyan poghots,"(40.205212476266794, 44.51884626067437)"
Նիկողայոս Տիգրանյան փողոց,Nikoghayos Tigranyan poghots,"(40.20461551618979, 44.52010851265962)"
Նիկողայոս Տիգրանյան փողոց,Nikoghayos Tigranyan poghots,"(40.20574481763019, 44.520216167672274)"
Բուդաղյան փողոց,Bowdaghyan poghots,"(40.205212476266794, 44.51884626067437)"
Գյուլբենկյան փողոց,Gyowlbenkyan poghots,"(40.196818300000004, 44.49831845)"
Վիկտոր Համբարձումյանի փողոց,Viktor Hambardzowmyani poghots,"(40.1971245837039, 44.500339548881016)"
Գյուլբենկյան փողոց,Gyowlbenkyan poghots,"(40.19614904825169, 44.498776156742146)"
Վիկտոր Համբարձումյանի փողոց,Viktor Hambardzowmyani poghots,"(40.19580314875014, 44.497125789994676)"
Գյուլբենկյան փողոց,Gyowlbenkyan poghots,"(40.20244204815738, 44.49442002090873)"
Գյուլբենկյան փողոց,Gyowlbenkyan poghots,"(40.203939981256994, 44.493378835901844)"
Արամ Խաչատրյանի փողոց,Aram Khachatryani poghots,"(40.20415732497998, 44.49546867360884)"
Արամ Խաչատրյանի փողոց,Aram Khachatryani poghots,"(40.20274313675056, 44.49196635528924)"
Պարսողովի փողոց,Parsoghovi poghots,"(40.2011796, 44.471381050000005)"
Պարսողովի փողոց,Parsoghovi poghots,"(40.2001549, 44.4712601)"
Ռուստամյան փողոց,Rhowstamyan poghots,"(40.20053222779902, 44.47284883456446)"
Ռուստամյան փողոց,Rhowstamyan poghots,"(40.200783948984245, 44.470004538185286)"
Ռուստամյան փողոց,Rhowstamyan poghots,"(40.20053222779902, 44.47284883456446)"
Ֆուչիկի փողոց 1-ին նրբանցք,Fowchiki poghots 1-in nrbantsk,"(40.202210209593844, 44.47522648829029)"
Ֆուչիկի փողոց,Fowchiki poghots,"(40.200807629202956, 44.47751393069122)"
Ֆուչիկի փողոց,Fowchiki poghots,"(40.203003252808436, 44.477215509902436)"
Ֆուչիկի փողոց 1-ին նրբանցք,Fowchiki poghots 1-in nrbantsk,"(40.202210209593844, 44.47522648829029)"
Մելքումովի փողոց,Melkowmovi poghots,"(40.21184755, 44.475631050000004)"
Բեկնազարյան փողոց,Beknazaryan poghots,"(40.211257416696455, 44.47328969951078)"
Մելքումովի փողոց,Melkowmovi poghots,"(40.21479160109797, 44.47143076627371)"
Թավրիզյան փողոց,Tavrizyan poghots,"(40.2060153, 44.49399905)"
Գյուլբենկյան փողոց,Gyowlbenkyan poghots,"(40.20518076432874, 44.49255821399411)"
"['Սևքարեցի Սաքոյի փողոց', 'Գյուլբենկյան փողոց']","['Sewkaretsi Sakoyi poghots', 'Gyowlbenkyan poghots']","(40.20605126505631, 44.49236924447121)"
Սևքարեցի Սաքոյի փողոց,Sewkaretsi Sakoyi poghots,"(40.20678015, 44.4940341)"
Համո Սահյան փողոց,Hamo Sahyan poghots,"(40.20708913562176, 44.49336716630656)"
"['Սևքարեցի Սաքոյի փողոց', 'Գյուլբենկյան փողոց']","['Sewkaretsi Sakoyi poghots', 'Gyowlbenkyan poghots']","(40.20605126505631, 44.49236924447121)"
Այգեձորի փողոց,Aygedzori poghots,"(40.19321421641327, 44.49685764374786)"
Թավրիզյան փողոց,Tavrizyan poghots,"(40.2060153, 44.49399905)"
Սևքարեցի Սաքոյի փողոց,Sewkaretsi Sakoyi poghots,"(40.208112173594515, 44.49728926846291)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.2076081, 44.4999512)"
Հովսեփ Էմինի փողոց,Hovsep Emini poghots,"(40.20642033328394, 44.49622389274635)"
Հովսեփ Էմինի փողոց,Hovsep Emini poghots,"(40.20859248941464, 44.501495733994105)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.20836066138151, 44.499413606363326)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.2091011, 44.498900899999995)"
Սևքարեցի Սաքոյի փողոց,Sewkaretsi Sakoyi poghots,"(40.2095466672185, 44.500841743096565)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.20836066138151, 44.499413606363326)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.2091011, 44.498900899999995)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.209585149999995, 44.49857435)"
Համո Սահյան փողոց,Hamo Sahyan poghots,"(40.20872815, 44.4971689)"
Համո Սահյան փողոց,Hamo Sahyan poghots,"(40.21008668737918, 44.500496979397475)"
Արամ Խաչատրյանի փողոց,Aram Khachatryani poghots,"(40.2070574101069, 44.50259849018489)"
Արամ Խաչատրյանի փողոց,Aram Khachatryani poghots,"(40.205626359384965, 44.49909758271019)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.205325387539574, 44.501494527938206)"
Վահրամ Փափազյան փողոց,Vahram Papazyan poghots,"(40.2067506721663, 44.50053956277351)"
Օրբելի եղբայրների փողոց,Orbeli eghbayrneri poghots,"(40.19429551461196, 44.49644027028463)"
Օրբելի եղբայրների փողոց,Orbeli eghbayrneri poghots,"(40.19293930149094, 44.49141207406966)"
Մարշալ Բաղրամյան պողոտա,Marshal Baghramyan poghota,"(40.193465995505605, 44.49816544719104)"
Օրբելի եղբայրների փողոց,Orbeli eghbayrneri poghots,"(40.19439925580486, 44.49585850509295)"
Մանուշյան փողոց,Manowshyan poghots,"(40.20671295719374, 44.49854797790521)"
Հովսեփ Էմինի փողոց 1-ին նրբանցք,Hovsep Emini poghots 1-in nrbantsk,"(40.21049057541041, 44.50524212647002)"
Հովսեփ Էմինի փողոց,Hovsep Emini poghots,"(40.21049930056392, 44.50656624060483)"
Հովսեփ Էմինի փողոց,Hovsep Emini poghots,"(40.20962028871166, 44.50434900759053)"
Հովսեփ Էմինի փողոց 1-ին նրբանցք,Hovsep Emini poghots 1-in nrbantsk,"(40.21141250971069, 44.505182090151926)"
Հովսեփ Էմինի փողոց 1-ին նրբանցք,Hovsep Emini poghots 1-in nrbantsk,"(40.21049057541041, 44.50524212647002)"
Հովսեփ Էմինի փողոց 1-ին նրբանցք,Hovsep Emini poghots 1-in nrbantsk,"(40.21091355072774, 44.50400739550982)"
Մալխասյանց նրբանցք,Malkhasyants nrbantsk,"(40.21198605, 44.5046635)"
Մալխասյանց նրբանցք,Malkhasyants nrbantsk,"(40.21198605, 44.5046635)"
Մալխասյանց նրբանցք,Malkhasyants nrbantsk,"(40.21153635683326, 44.50652446097885)"
Հովսեփ Էմինի փողոց 1-ին նրբանցք,Hovsep Emini poghots 1-in nrbantsk,"(40.21141250971069, 44.505182090151926)"
Մալխասյանց փողոց,Malkhasyants poghots,"(40.21097155, 44.5077684)"
Մալխասյանց փողոց,Malkhasyants poghots,"(40.211893948137444, 44.5077753948594)"
Մալխասյանց նրբանցք,Malkhasyants nrbantsk,"(40.21153635683326, 44.50652446097885)"
Մամիկոնյանց փողոց 1-ին նրբանցք,Mamikonyants poghots 1-in nrbantsk,"(40.21113270598014, 44.5093136862066)"
Հովսեփ Արղության փողոց,Hovsep Arghowtyan poghots,"(40.21199670241986, 44.51011560186462)"
Հովսեփ Արղության փողոց,Hovsep Arghowtyan poghots,"(40.21225901031711, 44.50873285180109)"
Մամիկոնյանց փողոց 1-ին նրբանցք,Mamikonyants poghots 1-in nrbantsk,"(40.21113270598014, 44.5093136862066)"
Հովսեփ Արղության փողոց,Hovsep Arghowtyan poghots,"(40.21277338058872, 44.506779910903205)"
Հովսեփ Արղության փողոց,Hovsep Arghowtyan poghots,"(40.211858385549846, 44.51286805570937)"
"['Նիկողայոս Ադոնցի փողոց', 'Գրիբոյեդով փողոց']","['Nikoghayos Adontsi poghots', 'Griboyedov poghots']","(40.21471290988555, 44.51616478653093)"
Գրիբոյեդով փողոց,Griboyedov poghots,"(40.210664400899944, 44.51413593557797)"
Թումանյան փողոց,Towmanyan poghots,"(40.1788655321913, 44.52245083038075)"
Խանջյան փողոց,Khanjyan poghots,"(40.176590286348, 44.521791075407805)"
Սայաթ-Նովայի պողոտա,Sayat-Novayi poghota,"(40.17984115, 44.523567850000006)"
Հանրապետության փողոց,Hanrapetowtyan poghots,"(40.17954399188899, 44.52272770337677)"
Խանջյան փողոց,Khanjyan poghots,"(40.17921405422484, 44.52323197353692)"
Նար-Դոսի փողոց,Nar-Dosi poghots,"(40.16563482698127, 44.515363293941235)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.16624129129846, 44.51488777979646)"
Նար-Դոսի փողոց,Nar-Dosi poghots,"(40.165501356521375, 44.51478394474393)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.16471209542991, 44.51552154004738)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.176817741345594, 44.508147373235175)"
Զաքյան փողոց,Zakyan poghots,"(40.17791142769708, 44.508251290797816)"
Զաքյան փողոց,Zakyan poghots,"(40.17689170544326, 44.50655107121957)"
Մովսես Խորենացու փողոց,Movses Khorenatsow poghots,"(40.17842508380406, 44.506814435723996)"
Ամիրյան փողոց,Amiryan poghots,"(40.1809533, 44.50773015)"
Ամիրյան փողոց,Amiryan poghots,"(40.18044283707566, 44.50845738107543)"
Մեսրոպ Մաշտոցի պողոտա,Mesrop Mashtotsi poghota,"(40.18141001022138, 44.50837632253236)"
Եզնիկ Կողբացու փողոց,Eznik Koghbatsow poghots,"(40.18057965, 44.5098171)"
Փավստոս Բուզանդի փողոց,Pavstos Bowzandi poghots,"(40.180637086752384, 44.510791608578096)"
Արամի փողոց,Arami poghots,"(40.1785972, 44.515066950000005)"
Նալբանդյան փողոց,Nalbandyan poghots,"(40.17912453876555, 44.5160404496032)"
Հյուսիսային պողոտա,Hyowsisayin poghota,"(40.18070510166271, 44.51452218327884)"
Հյուսիսային պողոտա,Hyowsisayin poghota,"(40.18220208362412, 44.51467793334746)"
Պուշկինի փողոց,Powshkini poghots,"(40.1812339020722, 44.51476193687755)"
Հանրապետության փողոց,Hanrapetowtyan poghots,"(40.17697158400391, 44.5167489261782)"
Արամի փողոց,Arami poghots,"(40.17785677662853, 44.51611773919972)"
Հանրապետության փողոց,Hanrapetowtyan poghots,"(40.177949419899896, 44.51902287726852)"
Նալբանդյան փողոց,Nalbandyan poghots,"(40.18054308734609, 44.51841226494009)"
Նալբանդյան փողոց,Nalbandyan poghots,"(40.18159260137783, 44.52005605665868)"
Թումանյան փողոց,Towmanyan poghots,"(40.181273478001, 44.51908993403495)"
Թումանյան փողոց,Towmanyan poghots,"(40.18064024711834, 44.51996331620745)"
Մոսկովյան փողոց,Moskovyan poghots,"(40.187610431132825, 44.51900410853324)"
Տերյան փողոց,Teryan poghots,"(40.18760734670869, 44.52021155493139)"
Տերյան փողոց,Teryan poghots,"(40.18685131637652, 44.51934155428715)"
Մոսկովյան փողոց,Moskovyan poghots,"(40.186704203019296, 44.520699901474956)"
Տերյան փողոց,Teryan poghots,"(40.188651318689026, 44.521426716994476)"
Տերյան փողոց,Teryan poghots,"(40.18760734670869, 44.52021155493139)"
Ավետիք Իսահակյան փողոց,Avetik Isahakyan poghots,"(40.18741996132847, 44.521524480662066)"
Ավետիք Իսահակյան փողոց,Avetik Isahakyan poghots,"(40.188304813695034, 44.519899877826866)"
Աբովյան փողոց,Abovyan poghots,"(40.18646591893825, 44.52195905451998)"
Ավետիք Իսահակյան փողոց,Avetik Isahakyan poghots,"(40.18741996132847, 44.521524480662066)"
Խաչատուր Աբովյանի հրապարակ,Khachatowr Abovyani hraparak,"(40.191336937155846, 44.52823383363324)"
Աբովյան փողոց,Abovyan poghots,"(40.18986196288088, 44.525964342450976)"
Խաչատուր Աբովյանի հրապարակ,Khachatowr Abovyani hraparak,"(40.1914180566902, 44.52787436085502)"
Ներքին Չարբախ 12-րդ փողոց,Nerkin Charbakh 12-rd poghots,"(40.1331407, 44.446238699999995)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.13365185, 44.446328199999996)"
Ներքին Չարբախ 12-րդ փողոց,Nerkin Charbakh 12-rd poghots,"(40.133588599999996, 44.4469279)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.13313819338781, 44.4468885943936)"
Ներքին Չարբախ 5-րդ փողոց 5-րդ նրբանցք,Nerkin Charbakh 5-rd poghots 5-rd nrbantsk,"(40.132317400000005, 44.44648755)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.132645100000005, 44.44744905)"
Ներքին Չարբախ 5-րդ փողոց 5-րդ նրբանցք,Nerkin Charbakh 5-rd poghots 5-rd nrbantsk,"(40.133678725204575, 44.44853357150753)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.13313819338781, 44.4468885943936)"
Ներքին Չարբախ 10-րդ փողոց,Nerkin Charbakh 10-rd poghots,"(40.131717699999996, 44.44709695)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.1318699, 44.4482704)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.132284150000004, 44.4478432)"
Ներքին Չարբախ 5-րդ փողոց նրբանցք,Nerkin Charbakh 5-rd poghots nrbantsk,"(40.13095455, 44.44785525)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.13107155, 44.44908875)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.1318699, 44.4482704)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.130154149999996, 44.44868125)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.13107155, 44.44908875)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.1309797, 44.44988225)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.1301803, 44.450013600000005)"
Ներքին Չարբախ 2-րդ փողոց,Nerkin Charbakh 2-rd poghots,"(40.1291837, 44.44969995)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.1301803, 44.450013600000005)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.12918126480798, 44.451084891785314)"
Ներքին Չարբախ 1-ին փողոց,Nerkin Charbakh 1-in poghots,"(40.1281545572902, 44.45083101440601)"
Արարատյան փողոց,Araratyan poghots,"(40.13277085277017, 44.4573185319767)"
Ներքին Չարբախ 5-րդ փողոց,Nerkin Charbakh 5-rd poghots,"(40.12918126480798, 44.451084891785314)"
Ներքին Չարբախ 8-րդ փողոց,Nerkin Charbakh 8-rd poghots,"(40.1262701, 44.44639465)"
Ներքին Չարբախ 1-ին փողոց,Nerkin Charbakh 1-in poghots,"(40.1262512178358, 44.44776243888511)"
Ներքին Չարբախ 1-ին փողոց,Nerkin Charbakh 1-in poghots,"(40.125259552746016, 44.446177329671315)"
Ներքին Չարբախ 7-րդ փողոց,Nerkin Charbakh 7-rd poghots,"(40.12728355, 44.4480269)"
Ներքին Չարբախ 1-ին փողոց,Nerkin Charbakh 1-in poghots,"(40.127202965117554, 44.44930024059892)"
Ներքին Չարբախ 1-ին փողոց,Nerkin Charbakh 1-in poghots,"(40.1262512178358, 44.44776243888511)"
Ներքին Չարբախ 6-րդ փողոց,Nerkin Charbakh 6-rd poghots,"(40.1281593, 44.4494477)"
Ներքին Չարբախ 1-ին փողոց,Nerkin Charbakh 1-in poghots,"(40.1281545572902, 44.45083101440601)"
Ներքին Չարբախ 1-ին փողոց,Nerkin Charbakh 1-in poghots,"(40.127202965117554, 44.44930024059892)"
Ներքին Չարբախ 2-րդ փողոց,Nerkin Charbakh 2-rd poghots,"(40.12632655, 44.44508175)"
Ներքին Չարբախ 9-րդ փողոց,Nerkin Charbakh 9-rd poghots,"(40.12633805, 44.44387415)"
Ներքին Չարբախ 9-րդ փողոց,Nerkin Charbakh 9-rd poghots,"(40.125316049999995, 44.4448644)"
Ներքին Չարբախ 2-րդ փողոց,Nerkin Charbakh 2-rd poghots,"(40.1282399, 44.44817435)"
Ներքին Չարբախ 2-րդ փողոց,Nerkin Charbakh 2-rd poghots,"(40.12730245, 44.446659100000005)"
Ներքին Չարբախ 7-րդ փողոց,Nerkin Charbakh 7-rd poghots,"(40.128284050000005, 44.4469696)"
Ներքին Չարբախ 7-րդ փողոց,Nerkin Charbakh 7-rd poghots,"(40.12728355, 44.4480269)"
Ներքին Չարբախ 2-րդ փողոց,Nerkin Charbakh 2-rd poghots,"(40.1291837, 44.44969995)"
Ներքին Չարբախ 2-րդ փողոց,Nerkin Charbakh 2-rd poghots,"(40.1282399, 44.44817435)"
Ներքին Չարբախ 6-րդ փողոց,Nerkin Charbakh 6-rd poghots,"(40.12915755, 44.4483676)"
Ներքին Չարբախ 6-րդ փողոց,Nerkin Charbakh 6-rd poghots,"(40.1281593, 44.4494477)"
Ներքին Չարբախ 9-րդ փողոց,Nerkin Charbakh 9-rd poghots,"(40.12778915, 44.4424276)"
Ներքին Չարբախ 9-րդ փողոց,Nerkin Charbakh 9-rd poghots,"(40.12633805, 44.44387415)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.12706505, 44.4437923)"
Ներքին Չարբախ 8-րդ փողոց,Nerkin Charbakh 8-rd poghots,"(40.12812295, 44.444425499999994)"
Ներքին Չարբախ 8-րդ փողոց,Nerkin Charbakh 8-rd poghots,"(40.1272661, 44.44533955)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.12752145, 44.44449535)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.12824509364705, 44.445651682677536)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.1289809, 44.4468109)"
Ներքին Չարբախ 7-րդ փողոց,Nerkin Charbakh 7-rd poghots,"(40.129243349999996, 44.4459558)"
Ներքին Չարբախ 7-րդ փողոց,Nerkin Charbakh 7-rd poghots,"(40.128284050000005, 44.4469696)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.12824509364705, 44.445651682677536)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.130154149999996, 44.44868125)"
Ներքին Չարբախ 3-րդ փողոց,Nerkin Charbakh 3-rd poghots,"(40.129421199999996, 44.44750865)"
Ներքին Չարբախ 6-րդ փողոց,Nerkin Charbakh 6-rd poghots,"(40.13003715, 44.447447749999995)"
Ներքին Չարբախ 6-րդ փողոց,Nerkin Charbakh 6-rd poghots,"(40.12915755, 44.4483676)"
Լենինգրադյան փողոց,Leningradyan poghots,"(40.191390000554726, 44.47404249375347)"
Շինարարների փողոց,Shinararneri poghots,"(40.192041020005874, 44.47381306040438)"
Սիսվանի փողոց,Sisvani poghots,"(40.17763509945095, 44.49722665872219)"
"['Մարգարյան փողոց', 'Ալիխանյան եղբայրների փողոց']","['Margaryan poghots', 'Alikhanyan eghbayrneri poghots']","(40.20313404414716, 44.483067635777566)"
Արմեն Տիգրանյանի նրբանցք,Armen Tigranyani nrbantsk,"(40.19927565, 44.526705199999995)"
Արամ Չոլագյան փողոց,Aram Cholagyan poghots,"(40.19828529305085, 44.52554300411933)"
Արամ Չոլագյան փողոց,Aram Cholagyan poghots,"(40.19828529305085, 44.52554300411933)"
Վրթանես Փափազյան փողոց,Vrtanes Papazyan poghots,"(40.200809181049145, 44.52601163063175)"
Արմեն Տիգրանյանի փողոց,Armen Tigranyani poghots,"(40.20011037135146, 44.526080369216096)"
Արմեն Տիգրանյանի փողոց,Armen Tigranyani poghots,"(40.20080526689522, 44.52432870986529)"
Վարշավյան փողոց,Varshavyan poghots,"(40.20064003229788, 44.53019685296564)"
Կարապետ Ուլնեցու փողոց,Karapet Owlnetsow poghots,"(40.19943996885248, 44.529690926694855)"
Կարապետ Ուլնեցու փողոց,Karapet Owlnetsow poghots,"(40.20045743288673, 44.53086764744704)"
Նազարեթ Սուրենյան փողոց,Nazaret Sowrenyan poghots,"(40.20305179986824, 44.526958540545984)"
Դավիթ Անհաղթի փողոց,Davit Anhaghti poghots,"(40.20284047995197, 44.53083211497811)"
Ռիգայի փողոց,Rhigayi poghots,"(40.200016649999995, 44.509777)"
